year_film,year_ceremony,ceremony,category,name,film,winner,year_film_film,imdbID,imdbLink
1976,1977,49,COSTUME DESIGN,Alan Barrett,The Seven-per-cent Solution,FALSE,1976The Seven-per-cent Solution,tt0075194,https://www.imdb.com/title/tt0075194/
1976,1977,49,DIRECTING,Alan J. Pakula,All the President's Men,FALSE,1976All the President's Men,tt0074119,https://www.imdb.com/title/tt0074119/
1976,1977,49,DIRECTING,Ingmar Bergman,Face to Face,FALSE,1976Face to Face,tt0074147,https://www.imdb.com/title/tt0074147/
1976,1977,49,DIRECTING,Sidney Lumet,Network,FALSE,1976Network,tt0074958,https://www.imdb.com/title/tt0074958/
1976,1977,49,DIRECTING,John G. Avildsen,Rocky,TRUE,1976Rocky,tt0075148,https://www.imdb.com/title/tt0075148/
1976,1977,49,DIRECTING,Lina Wertmüller,Seven Beauties,FALSE,1976Seven Beauties,tt0075040,https://www.imdb.com/title/tt0075040/
1976,1977,49,DOCUMENTARY (Feature),"Barbara Kopple, Producer","Harlan County, U.S.A.",TRUE,"1976Harlan County, U.S.A.",tt0074605,https://www.imdb.com/title/tt0074605/
1976,1977,49,DOCUMENTARY (Feature),"James Gutman and David Helpern, Jr., Producers",Hollywood on Trial,FALSE,1976Hollywood on Trial,tt0074635,https://www.imdb.com/title/tt0074635/
1976,1977,49,DOCUMENTARY (Feature),"Michael Firth, Producer",Off the Edge,FALSE,1976Off the Edge,tt0074997,https://www.imdb.com/title/tt0074997/
1976,1977,49,DOCUMENTARY (Feature),"Anthony Howarth and David Koff, Producers",People of the Wind,FALSE,1976People of the Wind,tt0075052,https://www.imdb.com/title/tt0075052/
1976,1977,49,DOCUMENTARY (Feature),"Donald Brittain and Robert Duncan, Producers",Volcano:  An Inquiry into the Life and Death of Malcolm Lowry,FALSE,1976Volcano:  An Inquiry into the Life and Death of Malcolm Lowry,tt0070889,https://www.imdb.com/title/tt0070889/
1976,1977,49,DOCUMENTARY (Short Subject),"Sparky Greene, Producer",American Shoeshine,FALSE,1976American Shoeshine,tt0074134,https://www.imdb.com/title/tt0074134/
1976,1977,49,DOCUMENTARY (Short Subject),"Tony Ianzelo and Andy Thomson, Producers",Blackwood,FALSE,1976Blackwood,tt0074215,https://www.imdb.com/title/tt0074215/
1976,1977,49,DOCUMENTARY (Short Subject),"John Armstrong, Producer",The End of the Road,FALSE,1976The End of the Road,tt0074482,https://www.imdb.com/title/tt0074482/
